scope,stage,topic_id,topic_label,metric,value
dataset,all,,,total_abstracts,402703
dataset,all,,,initial_topics,6042
dataset,all,,,final_topics,15
dataset,all,,,kept_abstracts_after_topic_modeling,402703
dataset,all,,,dropped_abstracts_under_threshold,0
dataset,all,,,kept_abstract_share,1.0
dataset,all,,,dropped_abstract_share,0.0
dataset,all,,,under_threshold_initial_topics,6039
config,all,,,topic_modeling_min_topic_share,0.01
config,all,,,topic_modeling_min_topic_count,10
config,all,,,topic_modeling_merge_under_threshold,False
config,all,,,topic_modeling_max_final_topics,15
merge,all,,,merge_steps,6027
topic,initial,6041.0,"quantum, policy, medical, reinforcement learning, reinforcement, federated, clinical",abstract_count,178070
topic,initial,6041.0,"quantum, policy, medical, reinforcement learning, reinforcement, federated, clinical",abstract_share,0.4421869218754268
topic,initial,6041.0,"quantum, policy, medical, reinforcement learning, reinforcement, federated, clinical",selected,True
topic,initial,0.0,"robot, policy, rl, imitation, imitation learning, reinforcement learning, reinforcement",abstract_count,12141
topic,initial,0.0,"robot, policy, rl, imitation, imitation learning, reinforcement learning, reinforcement",abstract_share,0.030148769688827747
topic,initial,0.0,"robot, policy, rl, imitation, imitation learning, reinforcement learning, reinforcement",selected,True
topic,initial,1.0,"vqa, captioning, captions, visual question, multimodal, visual, vision language",abstract_count,4842
topic,initial,1.0,"vqa, captioning, captions, visual question, multimodal, visual, vision language",abstract_share,0.012023749512668144
topic,initial,1.0,"vqa, captioning, captions, visual question, multimodal, visual, vision language",selected,True
topic,initial,2.0,"chest, medical image, lung, radiology, tumor, medical, chest ray",abstract_count,3668
topic,initial,2.0,"chest, medical image, lung, radiology, tumor, medical, chest ray",abstract_share,0.009108449651480123
topic,initial,2.0,"chest, medical image, lung, radiology, tumor, medical, chest ray",selected,False
topic,initial,3.0,"clinical, medical, ehr, clinical notes, patient, notes, electronic health",abstract_count,3021
topic,initial,3.0,"clinical, medical, ehr, clinical notes, patient, notes, electronic health",abstract_share,0.007501806542290472
topic,initial,3.0,"clinical, medical, ehr, clinical notes, patient, notes, electronic health",selected,False
topic,initial,4.0,"fl, federated, federated learning, clients, client, learning fl, global model",abstract_count,2605
topic,initial,4.0,"fl, federated, federated learning, clients, client, learning fl, global model",abstract_share,0.0064687871706940354
topic,initial,4.0,"fl, federated, federated learning, clients, client, learning fl, global model",selected,False
topic,initial,5.0,"asr, speech, speech recognition, automatic speech, tts, ctc, recognition asr",abstract_count,2473
topic,initial,5.0,"asr, speech, speech recognition, automatic speech, tts, ctc, recognition asr",abstract_share,0.006141002177783627
topic,initial,5.0,"asr, speech, speech recognition, automatic speech, tts, ctc, recognition asr",selected,False
topic,initial,6.0,"pdes, pinns, pde, physics informed, partial differential, informed neural, equations",abstract_count,2327
topic,initial,6.0,"pdes, pinns, pde, physics informed, partial differential, informed neural, equations",abstract_share,0.00577845210986757
topic,initial,6.0,"pdes, pinns, pde, physics informed, partial differential, informed neural, equations",selected,False
topic,initial,7.0,"molecular, drug, molecules, crystal, molecule, docking, chemical",abstract_count,2264
topic,initial,7.0,"molecular, drug, molecules, crystal, molecule, docking, chemical",abstract_share,0.005622009272342148
topic,initial,7.0,"molecular, drug, molecules, crystal, molecule, docking, chemical",selected,False
topic,initial,8.0,"causal, causal discovery, treatment effects, observational, treatment effect, treatment, causal inference",abstract_count,1891
topic,initial,8.0,"causal, causal discovery, treatment effects, observational, treatment effect, treatment, causal inference",abstract_share,0.0046957683454059195
topic,initial,8.0,"causal, causal discovery, treatment effects, observational, treatment effect, treatment, causal inference",selected,False
topic,initial,9.0,"adversarial examples, adversarial, adversarial training, adversarial attacks, adversarial robustness, attacks, adversarial perturbations",abstract_count,1756
topic,initial,9.0,"adversarial examples, adversarial, adversarial training, adversarial attacks, adversarial robustness, attacks, adversarial perturbations",abstract_share,0.00436053369356573
topic,initial,9.0,"adversarial examples, adversarial, adversarial training, adversarial attacks, adversarial robustness, attacks, adversarial perturbations",selected,False
topic,initial,10.0,"cot, reasoning, rlvr, lrms, reasoning models, overthinking, thought",abstract_count,1696
topic,initial,10.0,"cot, reasoning, rlvr, lrms, reasoning models, overthinking, thought",abstract_share,0.00421154051497009
topic,initial,10.0,"cot, reasoning, rlvr, lrms, reasoning models, overthinking, thought",selected,False
topic,initial,11.0,"gnns, node, node classification, graph, graph neural, heterophily, gnn",abstract_count,1633
topic,initial,11.0,"gnns, node, node classification, graph, graph neural, heterophily, gnn",abstract_share,0.004055097677444668
topic,initial,11.0,"gnns, node, node classification, graph, graph neural, heterophily, gnn",selected,False
topic,initial,12.0,"jailbreak, jailbreak attacks, jailbreaking, harmful, safety alignment, prompt injection, refusal",abstract_count,1535
topic,initial,12.0,"jailbreak, jailbreak attacks, jailbreaking, harmful, safety alignment, prompt injection, refusal",abstract_share,0.0038117421524051223
topic,initial,12.0,"jailbreak, jailbreak attacks, jailbreaking, harmful, safety alignment, prompt injection, refusal",selected,False
topic,initial,13.0,"music, musical, music generation, symbolic music, lyrics, piano, melody",abstract_count,1523
topic,initial,13.0,"music, musical, music generation, symbolic music, lyrics, piano, melody",abstract_share,0.003781943516685994
topic,initial,13.0,"music, musical, music generation, symbolic music, lyrics, piano, melody",selected,False
topic,initial,14.0,"relu, width, relu networks, grokking, ntk, activation functions, activation",abstract_count,1477
topic,initial,14.0,"relu, width, relu networks, grokking, ntk, activation functions, activation",abstract_share,0.003667715413096004
topic,initial,14.0,"relu, width, relu networks, grokking, ntk, activation functions, activation",selected,False
topic,initial,15.0,"driving, signal control, traffic signal, autonomous driving, traffic, trajectory prediction, lane",abstract_count,1401
topic,initial,15.0,"driving, signal control, traffic signal, autonomous driving, traffic, trajectory prediction, lane",abstract_share,0.003478990720208193
topic,initial,15.0,"driving, signal control, traffic signal, autonomous driving, traffic, trajectory prediction, lane",selected,False
topic,initial,16.0,"bandits, bandit, arm, regret, arms, armed, multi armed",abstract_count,1393
topic,initial,16.0,"bandits, bandit, arm, regret, arms, armed, multi armed",abstract_share,0.003459124963062108
topic,initial,16.0,"bandits, bandit, arm, regret, arms, armed, multi armed",selected,False
topic,initial,17.0,"fairness, fair, algorithmic fairness, unfairness, group fairness, counterfactual fairness, sensitive attributes",abstract_count,1315
topic,initial,17.0,"fairness, fair, algorithmic fairness, unfairness, group fairness, counterfactual fairness, sensitive attributes",abstract_share,0.003265433830887776
topic,initial,17.0,"fairness, fair, algorithmic fairness, unfairness, group fairness, counterfactual fairness, sensitive attributes",selected,False
topic,initial,18.0,"finite sum, nonconvex, strongly convex, convex, svrg, nonsmooth, stochastic",abstract_count,1275
topic,initial,18.0,"finite sum, nonconvex, strongly convex, convex, svrg, nonsmooth, stochastic",abstract_share,0.003166105045157349
topic,initial,18.0,"finite sum, nonconvex, strongly convex, convex, svrg, nonsmooth, stochastic",selected,False
topic,initial,19.0,"emotion, emotion recognition, speech emotion, ser, emotions, empathy, emotional",abstract_count,1266
topic,initial,19.0,"emotion, emotion recognition, speech emotion, ser, emotions, empathy, emotional",abstract_share,0.0031437560683680033
topic,initial,19.0,"emotion, emotion recognition, speech emotion, ser, emotions, empathy, emotional",selected,False
topic,initial,20.0,"traffic, mobility, human mobility, traffic forecasting, traffic flow, travel, traffic prediction",abstract_count,1249
topic,initial,20.0,"traffic, mobility, human mobility, traffic forecasting, traffic flow, travel, traffic prediction",abstract_share,0.003101541334432572
topic,initial,20.0,"traffic, mobility, human mobility, traffic forecasting, traffic flow, travel, traffic prediction",selected,False
topic,initial,21.0,"recommendation, item, user item, recommender, sequential recommendation, recommender systems, collaborative filtering",abstract_count,1237
topic,initial,21.0,"recommendation, item, user item, recommender, sequential recommendation, recommender systems, collaborative filtering",abstract_share,0.003071742698713444
topic,initial,21.0,"recommendation, item, user item, recommender, sequential recommendation, recommender systems, collaborative filtering",selected,False
topic,initial,22.0,"explanations, xai, explanation, explanation methods, xai methods, attribution, attribution methods",abstract_count,1222
topic,initial,22.0,"explanations, xai, explanation, explanation methods, xai methods, attribution, attribution methods",abstract_share,0.003034494404064534
topic,initial,22.0,"explanations, xai, explanation, explanation methods, xai methods, attribution, attribution methods",selected,False
topic,initial,23.0,"series forecasting, time series, series, forecasting, series classification, multivariate time, tsf",abstract_count,1204
topic,initial,23.0,"series forecasting, time series, series, forecasting, series classification, multivariate time, tsf",abstract_share,0.002989796450485842
topic,initial,23.0,"series forecasting, time series, series, forecasting, series classification, multivariate time, tsf",selected,False
topic,initial,24.0,"machine translation, translation, nmt, mt, neural machine, qe, translation quality",abstract_count,1199
topic,initial,24.0,"machine translation, translation, nmt, mt, neural machine, qe, translation quality",abstract_share,0.0029773803522695386
topic,initial,24.0,"machine translation, translation, nmt, mt, neural machine, qe, translation quality",selected,False
